customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,EstimatedAnnualRevenue,TenureGroup,ChargeLevel,CustomerValue
0031-PVLZI,FEMALE,0,YES,YES,4,MONTH-TO-MONTH,NO,MAILED CHECK,20.35,76.35,YES,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,244.2,NEW CUSTOMER,LOW,STANDARD
0032-PGELS,FEMALE,0,YES,YES,1,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),30.5,30.5,YES,NO,NO PHONE SERVICE,DSL,YES,NO,NO,NO,NO,NO,366,NEW CUSTOMER,LOW,STANDARD
0036-IHMOT,FEMALE,0,YES,YES,55,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),103.7,5656.75,NO,YES,NO,FIBER OPTIC,NO,YES,YES,YES,YES,YES,1244.4,LOYAL,HIGH,HIGH VALUE
0040-HALCW,MALE,0,YES,YES,54,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),20.4,1090.6,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,244.8,LOYAL,LOW,STANDARD
0042-JVWOJ,MALE,0,NO,NO,26,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),19.6,471.85,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,235.2,ESTABLISHED,LOW,STANDARD
0042-RLHYP,FEMALE,0,YES,YES,69,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),19.7,1396.9,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,236.4,LOYAL,LOW,STANDARD
0048-LUMLS,MALE,0,YES,YES,37,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),91.2,3247.55,NO,YES,NO,FIBER OPTIC,NO,NO,NO,NO,YES,YES,1094.4,ESTABLISHED,HIGH,HIGH VALUE
0048-PIHNL,FEMALE,0,YES,NO,49,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),20.45,900.9,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,245.4,LOYAL,LOW,STANDARD
0052-DCKON,MALE,0,YES,NO,66,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),115.8,7942.15,NO,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,1389.6,LOYAL,HIGH,HIGH VALUE
0052-YNYOT,FEMALE,0,NO,NO,67,ONE YEAR,NO,ELECTRONIC CHECK,20.55,1343.4,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,246.6,LOYAL,LOW,STANDARD
0056-EPFBG,MALE,0,YES,YES,20,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),39.4,825.4,NO,NO,NO PHONE SERVICE,DSL,YES,NO,YES,YES,NO,NO,472.8,DEVELOPING,LOW,STANDARD
0057-QBUQH,FEMALE,0,NO,YES,43,TWO YEAR,YES,ELECTRONIC CHECK,25.1,1070.15,NO,YES,YES,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,301.2,ESTABLISHED,LOW,STANDARD
0058-EVZWM,FEMALE,0,YES,NO,55,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),89.8,4959.6,NO,YES,YES,FIBER OPTIC,YES,NO,NO,NO,YES,NO,1077.6,LOYAL,HIGH,HIGH VALUE
0060-FUALY,FEMALE,0,YES,NO,59,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,94.75,5597.65,NO,YES,YES,FIBER OPTIC,YES,YES,NO,NO,YES,NO,1137,LOYAL,HIGH,HIGH VALUE
0064-SUDOG,FEMALE,0,YES,YES,12,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),20.3,224.5,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,243.6,NEW CUSTOMER,LOW,STANDARD
0064-YIJGF,MALE,0,YES,YES,27,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),75.75,1929,NO,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,909,ESTABLISHED,MEDIUM,STANDARD
0067-DKWBL,MALE,1,NO,NO,2,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,49.25,91.1,YES,YES,NO,DSL,YES,NO,NO,NO,NO,NO,591,NEW CUSTOMER,MEDIUM,STANDARD
0068-FIGTF,FEMALE,0,NO,NO,27,ONE YEAR,NO,MAILED CHECK,78.2,2078.95,NO,YES,NO,DSL,NO,YES,YES,YES,YES,YES,938.4,ESTABLISHED,MEDIUM,STANDARD
0071-NDAFP,MALE,0,YES,YES,25,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),25.5,630.6,NO,YES,YES,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,306,ESTABLISHED,LOW,STANDARD
0074-HDKDG,MALE,0,YES,YES,25,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),61.6,1611,NO,YES,NO,DSL,YES,YES,YES,NO,NO,NO,739.2,ESTABLISHED,MEDIUM,STANDARD
0076-LVEPS,MALE,0,NO,YES,29,MONTH-TO-MONTH,YES,MAILED CHECK,45,1242.45,NO,NO,NO PHONE SERVICE,DSL,YES,YES,YES,YES,NO,NO,540,ESTABLISHED,MEDIUM,STANDARD
0078-XZMHT,MALE,0,YES,NO,72,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),85.15,6316.2,NO,YES,YES,DSL,NO,YES,YES,YES,YES,YES,1021.8,LOYAL,HIGH,HIGH VALUE
0080-EMYVY,FEMALE,0,NO,NO,14,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),51.45,727.85,NO,YES,NO,DSL,NO,YES,NO,NO,NO,NO,617.4,DEVELOPING,MEDIUM,STANDARD
0080-OROZO,FEMALE,0,NO,NO,35,ONE YEAR,YES,ELECTRONIC CHECK,99.25,3532,NO,YES,NO,FIBER OPTIC,NO,NO,YES,YES,YES,YES,1191,ESTABLISHED,HIGH,HIGH VALUE
0082-LDZUE,MALE,0,NO,NO,1,MONTH-TO-MONTH,YES,MAILED CHECK,44.3,44.3,NO,YES,NO,DSL,NO,NO,NO,NO,NO,NO,531.6,NEW CUSTOMER,MEDIUM,STANDARD
0082-OQIQY,MALE,0,NO,NO,29,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,94.2,2607.6,NO,YES,NO,FIBER OPTIC,NO,NO,NO,YES,YES,YES,1130.4,ESTABLISHED,HIGH,HIGH VALUE
0083-PIVIK,MALE,0,NO,NO,64,ONE YEAR,NO,ELECTRONIC CHECK,81.25,5567.55,NO,YES,YES,DSL,YES,YES,YES,YES,YES,NO,975,LOYAL,HIGH,HIGH VALUE
0089-IIQKO,FEMALE,0,YES,YES,39,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),99.95,3767.4,NO,YES,YES,FIBER OPTIC,NO,NO,NO,YES,YES,YES,1199.4,ESTABLISHED,HIGH,HIGH VALUE
0093-EXYQL,FEMALE,1,NO,NO,40,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,91.55,3673.6,NO,YES,NO,FIBER OPTIC,NO,NO,NO,NO,YES,YES,1098.6,ESTABLISHED,HIGH,HIGH VALUE
0093-XWZFY,MALE,0,NO,NO,40,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),104.5,4036.85,YES,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,1254,ESTABLISHED,HIGH,HIGH VALUE
0094-OIFMO,FEMALE,1,NO,NO,11,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,95,1120.3,YES,YES,NO,FIBER OPTIC,NO,YES,NO,NO,YES,YES,1140,NEW CUSTOMER,HIGH,STANDARD
0096-BXERS,FEMALE,0,YES,NO,6,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,50.35,314.55,NO,YES,YES,DSL,NO,NO,NO,NO,NO,NO,604.2,NEW CUSTOMER,MEDIUM,STANDARD
0096-FCPUF,MALE,0,NO,NO,30,MONTH-TO-MONTH,YES,MAILED CHECK,64.5,1888.45,NO,YES,YES,DSL,YES,NO,NO,NO,NO,YES,774,ESTABLISHED,MEDIUM,STANDARD
0098-BOWSO,MALE,0,NO,NO,27,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,19.4,529.8,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,232.8,ESTABLISHED,LOW,STANDARD
0100-DUVFC,MALE,1,YES,NO,70,ONE YEAR,YES,ELECTRONIC CHECK,104.8,7308.95,NO,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,1257.6,LOYAL,HIGH,HIGH VALUE
0103-CSITQ,FEMALE,0,YES,NO,57,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),109.4,6252.7,NO,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,1312.8,LOYAL,HIGH,HIGH VALUE
0104-PPXDV,MALE,0,YES,NO,58,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),50.3,2878.55,NO,YES,NO,DSL,NO,NO,YES,NO,NO,NO,603.6,LOYAL,MEDIUM,STANDARD
0106-GHRQR,MALE,0,NO,NO,16,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),71.4,1212.1,NO,YES,YES,DSL,NO,YES,YES,NO,NO,YES,856.8,DEVELOPING,MEDIUM,STANDARD
0106-UGRDO,FEMALE,0,YES,NO,69,TWO YEAR,YES,ELECTRONIC CHECK,116,8182.85,NO,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,1392,LOYAL,HIGH,HIGH VALUE
0107-WESLM,MALE,0,NO,NO,1,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,19.85,19.85,YES,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,238.2,NEW CUSTOMER,LOW,STANDARD
0107-YHINA,MALE,0,NO,YES,1,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,99.75,99.75,YES,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,YES,1197,NEW CUSTOMER,HIGH,STANDARD
0111-KLBQG,MALE,1,YES,YES,32,MONTH-TO-MONTH,YES,MAILED CHECK,93.95,2861.45,NO,YES,NO,FIBER OPTIC,NO,YES,NO,NO,YES,YES,1127.4,ESTABLISHED,HIGH,HIGH VALUE
0112-QAWRZ,MALE,0,YES,YES,16,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),90.8,1442.2,NO,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,NO,1089.6,DEVELOPING,HIGH,STANDARD
0112-QWPNC,MALE,0,YES,NO,49,ONE YEAR,NO,ELECTRONIC CHECK,84.35,4059.35,YES,YES,YES,DSL,YES,NO,YES,YES,YES,YES,1012.2,LOYAL,HIGH,HIGH VALUE
0114-IGABW,FEMALE,0,YES,NO,71,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),58.25,4145.9,NO,NO,NO PHONE SERVICE,DSL,NO,YES,YES,YES,YES,YES,699,LOYAL,MEDIUM,STANDARD
0114-PEGZZ,FEMALE,0,NO,NO,33,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,107.55,3645.5,NO,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,1290.6,ESTABLISHED,HIGH,HIGH VALUE
0114-RSRRW,FEMALE,0,YES,NO,10,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),19.95,187.75,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,239.4,NEW CUSTOMER,LOW,STANDARD
0115-TFERT,MALE,0,YES,NO,21,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,111.2,2317.1,YES,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,1334.4,DEVELOPING,HIGH,STANDARD
0117-LFRMW,MALE,0,YES,YES,37,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),40.2,1448.8,YES,NO,NO PHONE SERVICE,DSL,YES,YES,YES,NO,NO,NO,482.4,ESTABLISHED,MEDIUM,STANDARD
0118-JPNOY,FEMALE,1,NO,NO,26,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),85.8,2193.65,NO,YES,NO,FIBER OPTIC,YES,NO,NO,NO,YES,NO,1029.6,ESTABLISHED,HIGH,HIGH VALUE
0121-SNYRK,MALE,0,NO,NO,50,ONE YEAR,YES,MAILED CHECK,35.4,1748.9,NO,NO,NO PHONE SERVICE,DSL,YES,NO,NO,YES,NO,NO,424.8,LOYAL,LOW,STANDARD
0122-OAHPZ,FEMALE,0,NO,NO,7,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,73.85,511.25,YES,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,886.2,NEW CUSTOMER,MEDIUM,STANDARD
0123-CRBRT,FEMALE,0,YES,YES,61,TWO YEAR,NO,MAILED CHECK,88.1,5526.75,NO,YES,YES,DSL,YES,YES,YES,YES,YES,YES,1057.2,LOYAL,HIGH,HIGH VALUE
0125-LZQXK,MALE,0,NO,NO,15,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,101.35,1553.95,YES,YES,NO,FIBER OPTIC,NO,NO,YES,YES,YES,YES,1216.2,DEVELOPING,HIGH,STANDARD
0128-MKWSG,FEMALE,0,NO,YES,26,MONTH-TO-MONTH,NO,MAILED CHECK,45.8,1147,NO,NO,NO PHONE SERVICE,DSL,YES,NO,NO,YES,NO,YES,549.6,ESTABLISHED,MEDIUM,STANDARD
0129-KPTWJ,MALE,0,YES,NO,72,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,94.65,6747.35,NO,YES,NO,FIBER OPTIC,NO,NO,YES,NO,YES,YES,1135.8,LOYAL,HIGH,HIGH VALUE
0129-QMPDR,MALE,0,YES,YES,44,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),20.5,865.05,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,246,ESTABLISHED,LOW,STANDARD
0130-SXOUN,MALE,0,NO,NO,66,MONTH-TO-MONTH,NO,CREDIT CARD (AUTOMATIC),89.4,5976.9,NO,YES,YES,FIBER OPTIC,NO,YES,NO,NO,NO,YES,1072.8,LOYAL,HIGH,HIGH VALUE
0133-BMFZO,FEMALE,0,NO,NO,2,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,86.25,181.65,YES,YES,NO,FIBER OPTIC,YES,YES,NO,YES,NO,NO,1035,NEW CUSTOMER,HIGH,STANDARD
0134-XWXCE,FEMALE,1,NO,NO,44,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),74.85,3268.05,NO,YES,NO,DSL,NO,NO,YES,YES,YES,YES,898.2,ESTABLISHED,MEDIUM,STANDARD
0135-NMXAP,FEMALE,0,NO,NO,12,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),89.75,1052.4,YES,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,NO,1077,NEW CUSTOMER,HIGH,STANDARD
0136-IFMYD,MALE,1,YES,NO,69,TWO YEAR,YES,ELECTRONIC CHECK,109.95,7634.25,NO,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,1319.4,LOYAL,HIGH,HIGH VALUE
0137-OCGAB,FEMALE,0,NO,NO,1,MONTH-TO-MONTH,YES,MAILED CHECK,80.2,80.2,YES,YES,YES,FIBER OPTIC,NO,YES,NO,NO,NO,NO,962.4,NEW CUSTOMER,HIGH,STANDARD
0137-UDEUO,FEMALE,0,NO,NO,3,MONTH-TO-MONTH,NO,MAILED CHECK,19.85,63.75,YES,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,238.2,NEW CUSTOMER,LOW,STANDARD
0139-IVFJG,FEMALE,0,YES,NO,2,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,90.35,190.5,NO,YES,NO,FIBER OPTIC,YES,YES,NO,NO,YES,NO,1084.2,NEW CUSTOMER,HIGH,STANDARD
0141-YEAYS,FEMALE,1,NO,NO,27,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),86.45,2401.05,NO,YES,YES,FIBER OPTIC,NO,YES,YES,NO,NO,NO,1037.4,ESTABLISHED,HIGH,HIGH VALUE
0142-GVYSN,MALE,0,NO,NO,26,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,20.3,511.25,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,243.6,ESTABLISHED,LOW,STANDARD
0147-ESWWR,FEMALE,1,YES,NO,39,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,101.25,3949.15,NO,YES,YES,FIBER OPTIC,NO,NO,NO,YES,YES,YES,1215,ESTABLISHED,HIGH,HIGH VALUE
0148-DCDOS,MALE,0,NO,NO,25,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),94.7,2362.1,YES,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,YES,1136.4,ESTABLISHED,HIGH,HIGH VALUE
0151-ONTOV,FEMALE,0,NO,NO,1,MONTH-TO-MONTH,NO,MAILED CHECK,70.9,70.9,YES,YES,NO,FIBER OPTIC,NO,NO,NO,NO,NO,NO,850.8,NEW CUSTOMER,MEDIUM,STANDARD
0156-FVPTA,MALE,0,YES,NO,22,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,54.2,1152.7,YES,YES,NO,DSL,YES,NO,NO,YES,NO,NO,650.4,DEVELOPING,MEDIUM,STANDARD
0164-APGRB,FEMALE,0,NO,NO,72,TWO YEAR,YES,ELECTRONIC CHECK,114.9,8496.7,NO,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,1378.8,LOYAL,HIGH,HIGH VALUE
0164-XAIRP,FEMALE,0,NO,NO,24,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),19.55,470.2,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,234.6,DEVELOPING,LOW,STANDARD
0168-XZKBB,FEMALE,0,YES,NO,19,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,86.85,1564.4,NO,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,NO,1042.2,DEVELOPING,HIGH,STANDARD
0174-QRVVY,MALE,0,YES,YES,71,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),25.35,1847.55,NO,YES,YES,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,304.2,LOYAL,LOW,STANDARD
0177-PXBAT,MALE,1,YES,NO,33,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),109.9,3694.7,NO,YES,YES,FIBER OPTIC,YES,NO,YES,YES,YES,YES,1318.8,ESTABLISHED,HIGH,HIGH VALUE
0178-CIIKR,FEMALE,0,NO,NO,3,MONTH-TO-MONTH,NO,MAILED CHECK,19.95,58,NO,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,239.4,NEW CUSTOMER,LOW,STANDARD
0178-SZBHO,MALE,0,YES,YES,47,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,87.2,4017.45,NO,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,NO,1046.4,ESTABLISHED,HIGH,HIGH VALUE
0181-RITDD,MALE,0,YES,YES,62,TWO YEAR,NO,MAILED CHECK,108.15,6825.65,NO,YES,NO,FIBER OPTIC,YES,YES,YES,YES,YES,YES,1297.8,LOYAL,HIGH,HIGH VALUE
